gypsy,franky,0.20017752139298775
franky,gypsy,0.20017752139298775
candido,madame,0.16889168234541616
madame,candido,0.16889168234541616
madame,boy,0.14878321164216377
boy,madame,0.14878321164216377
gypsy,madame,0.10102891966698074
madame,gypsy,0.10102891966698074
franky,boy,0.09872141900037691
boy,franky,0.09872141900037691
candido,boy,0.06931449039311766
boy,candido,0.06931449039311766
gypsy,boy,0.0686462837693162
boy,gypsy,0.0686462837693162
madame,franky,0.04337058297509554
franky,madame,0.04337058297509554
franky,PROTAGONIST,0.00881747824355178
PROTAGONIST,franky,0.00881747824355178
véloce,rosaria,-0.007582941795082543
rosaria,véloce,-0.007582941795082543
dee,rosaria,-0.009312235702373373
rosaria,dee,-0.009312235702373373
véloce,dee,-0.013204844425565953
dee,véloce,-0.013204844425565953
gypsy,rosaria,-0.013277586148895919
rosaria,gypsy,-0.013277586148895919
madame,rosaria,-0.016397360164631846
rosaria,madame,-0.016397360164631846
candido,rosaria,-0.01733281874884197
rosaria,candido,-0.01733281874884197
véloce,gypsy,-0.018827751470952853
gypsy,véloce,-0.018827751470952853
rosaria,franky,-0.01909472841856377
franky,rosaria,-0.01909472841856377
rosaria,PROTAGONIST,-0.02074285781533697
PROTAGONIST,rosaria,-0.02074285781533697
dee,gypsy,-0.02312143020231522
gypsy,dee,-0.02312143020231522
véloce,madame,-0.02325162258390338
madame,véloce,-0.02325162258390338
candido,véloce,-0.024578112319113433
véloce,candido,-0.024578112319113433
véloce,franky,-0.027076518053694112
franky,véloce,-0.027076518053694112
dee,madame,-0.028554167474205045
madame,dee,-0.028554167474205045
véloce,PROTAGONIST,-0.029413582210268817
PROTAGONIST,véloce,-0.029413582210268817
candido,dee,-0.030183163898662036
dee,candido,-0.030183163898662036
PROTAGONIST,boy,-0.03156359569495837
boy,PROTAGONIST,-0.03156359569495837
dee,franky,-0.03325133238911045
franky,dee,-0.03325133238911045
rosaria,boy,-0.03497578764768018
boy,rosaria,-0.03497578764768018
dee,PROTAGONIST,-0.03612136526892304
PROTAGONIST,dee,-0.03612136526892304
candido,gypsy,-0.04303580490435722
gypsy,candido,-0.04303580490435722
véloce,boy,-0.04959602068830133
boy,véloce,-0.04959602068830133
gypsy,PROTAGONIST,-0.051502620262460455
PROTAGONIST,gypsy,-0.051502620262460455
dee,boy,-0.060906419570403755
boy,dee,-0.060906419570403755
candido,franky,-0.06189054227988029
franky,candido,-0.06189054227988029
madame,PROTAGONIST,-0.06360395665262199
PROTAGONIST,madame,-0.06360395665262199
candido,PROTAGONIST,-0.06723252043624613
PROTAGONIST,candido,-0.06723252043624613
